"","onset","terminus","from","to","weight"
"574",6,7,9,7,0.926127012024998
"575",7,8,9,7,1.52455193330678
"576",1,2,9,8,2.63050377680347
"577",2,3,9,8,1.36943727
"578",3,4,9,8,3.571811555
"579",4,5,9,8,9.865624061
"580",5,6,9,8,3.21038421873014
"581",6,7,9,8,2.529822960625
"582",7,8,9,8,0.85311116151755
"583",1,2,9,9,199.95975525521
"584",2,3,9,9,119.384667143
"585",3,4,9,9,138.211641185
"586",4,5,9,9,93.407918107
"587",5,6,9,9,191.97925019947
"588",6,7,9,9,88.2562551569243
"589",7,8,9,9,47.1786162441474
"592",4,5,9,10,2.420234212
"593",5,6,9,10,5.26616643273942
"594",7,8,9,10,2.37844323644562
"596",4,5,9,11,3.730443286
"597",5,6,9,11,8.45077004306603
"598",6,7,9,11,1.13570056175132
"599",4,5,10,1,4.899304662
"600",5,6,10,1,6.84436297787781
"601",6,7,10,1,6.45003008838496
"602",7,8,10,1,3.61452737974125
"603",2,3,10,2,1.200834547
"604",4,5,10,2,3.521398499
"605",5,6,10,2,4.47824682893819
"606",6,7,10,2,6.0214294107954
"607",7,8,10,2,4.04577151276475
"608",2,3,10,3,6.021799983
"609",4,5,10,3,6.503258524
"610",5,6,10,3,9.01177880556922
"611",6,7,10,3,15.5226791444474
"612",7,8,10,3,1.32440106923423
"613",2,3,10,4,1.114169597
"614",5,6,10,4,1.26400812691107
"615",6,7,10,4,2.90522727826305
"616",7,8,10,4,0.753993149791341
"617",4,5,10,5,0.338871402
"618",5,6,10,5,21.6129846656135
"619",6,7,10,5,1.4144462095297
"620",7,8,10,5,0.281676684316433
"621",2,3,10,6,1.444261146
"622",4,5,10,6,0.278324328
"623",5,6,10,6,7.05904921424616
"624",6,7,10,6,0.543433791939498
"625",2,3,10,7,3.841305136
"626",4,5,10,7,14.634538623
"627",5,6,10,7,11.4583128069424
"628",6,7,10,7,5.06613624371572
"629",7,8,10,7,10.0725967303753
"630",4,5,10,8,1.8052829
"631",2,3,10,9,2.969810224
"632",4,5,10,9,1.413031932
"633",5,6,10,9,0.524576182673335
"634",6,7,10,9,3.36329568567168
"635",4,5,10,10,58.038634052
"636",5,6,10,10,102.12519666916
"637",6,7,10,10,47.7270696386001
"638",7,8,10,10,35.3088588388632
"639",4,5,10,11,25.193855349
"640",5,6,10,11,27.6368465300211
"641",6,7,10,11,15.3719417710163
"642",7,8,10,11,8.92896674840206
"643",4,5,11,1,17.079811348
"644",5,6,11,1,24.9085690519799
"645",6,7,11,1,15.1210680691174
"646",7,8,11,1,12.0776187517004
"647",4,5,11,2,15.009048203
"648",5,6,11,2,34.6889795712968
"649",6,7,11,2,8.22426877553282
"650",7,8,11,2,6.44870681032932
"651",4,5,11,3,21.289367202
"652",5,6,11,3,19.1141897756841
"653",6,7,11,3,25.6056274108625
"654",7,8,11,3,3.975055569519
"655",4,5,11,4,1.603514299
"656",5,6,11,4,1.65960521063415
"657",6,7,11,4,8.50995072056541
"658",4,5,11,5,11.136309014
"659",5,6,11,5,5.89897566618854
"660",6,7,11,5,1.22632881847644
"661",7,8,11,5,0.770558783515434
"662",4,5,11,6,5.311235824
"663",5,6,11,6,2.30772206919869
"664",6,7,11,6,2.68622552333388
"665",7,8,11,6,3.39700160965863
"666",4,5,11,7,31.09046215
"667",5,6,11,7,13.7442036750315
"668",6,7,11,7,10.1139143147456
"669",7,8,11,7,9.57353789360972
"670",4,5,11,8,0.978447471
"671",5,6,11,8,9.46721452076191
"672",6,7,11,8,1.96740870480263
"673",7,8,11,8,3.68131688491611
"674",4,5,11,9,3.198853032
"675",5,6,11,9,2.94541152030123
"676",6,7,11,9,1.99033164833009
"677",7,8,11,9,0.554916484531083
"678",4,5,11,10,13.79185273
"679",5,6,11,10,46.3500039754129
"680",6,7,11,10,11.350721609994
"681",7,8,11,10,9.63279585095385
"682",4,5,11,11,52.856570745
"683",5,6,11,11,172.667685367935
"684",6,7,11,11,124.039186903783
"685",7,8,11,11,59.7670787366383
